FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
7378;Uk-1;GER;Umkirch;480.333;77.667;Albert Kranz;;CS76620;RgMap;REF;0.985090579;
7379;Uk-2;GER;Umkirch;480.333;77.667;Albert Kranz;;;RgMap;IMP;0.958831734;
7381;Uk-4;GER;Umkirch;480.333;77.667;Albert Kranz;;;RgMap;IMP;0.960608998;
7382;Utrecht;NED;Utrecht;520.918;51.145;Viola Willemsen;;CS76622;RgMap;REF;0.980315197;
7383;Van-0;CAN;Van;492.655;-123.206;Albert Kranz;;CS76623;1001G;REF;0.975275555;
7384;Ven-1;NED;Ven;520.333;5.55;Maarten Koornneef;;CS76624;RgMap;REF;0.983085132;
7386;Vi-0;GER;Vilbel/Taunus;501.946;874.639;Albert Kranz;;;RgMap;IMP;0.956056756;
7387;Vind-1;UK;Vind;549.902;-23.671;Maarten Koornneef;;CS76625;1001G;REF;0.993418326;
7390;Wag-3;NED;Wag;519.666;56.666;Maarten Koornneef;;;RgMap;IMP;0.964259373;
7391;Wag-4;NED;Wag;519.666;56.666;Maarten Koornneef;;;RgMap;IMP;0.960168105;
7392;Wag-5;NED;Wag;519.666;56.666;Maarten Koornneef;;;RgMap;IMP;0.962484847;
7394;Wa-1;POL;Wa;52.3;21;Albert Kranz;;CS76626;RgMap;REF;0.971191303;
7396;Ws-0.2;RUS;Ws;52.3;30;Albert Kranz;;CS78857;1001G;REF;0.982440454;
7397;Ws;RUS;Ws;52.3;30;Brigitte Damm;;;RgMap;IMP;0.954285881;
74;CAM-7;FRA;CAM;482.667;-458.333;Valerie Le Corre;;;RgMap;IMP;0.95984953;
7403;Wei-1;SUI;Wei;47.25;8.26;Eric Holub;;;RgMap;IMP;0.963655998;
7404;Wc-1;GER;Westercelle;52.6;100.667;Albert Kranz;;CS76627;RgMap;REF;0.987618904;
7405;Wc-2;GER;Westercelle;52.6;100.667;Albert Kranz;;;RgMap;IMP;0.957212388;
7406;Wt-1;GER;Wietze;52.3;9.3;Albert Kranz;;;RgMap;IMP;0.942528736;
7408;Wt-3;GER;Wietze;52.3;9.3;Albert Kranz;;;RgMap;IMP;0.94244293;
7411;Wl-0;GER;Wildbad;479.299;108.134;Albert Kranz;;CS76630;RgMap;REF;0.987117506;
7413;Wil-2;LTU;Wil;546.833;253.167;Albert Kranz;;CS78856;RgMap;REF;0.985021005;
7415;Wu-0;GER;Wurzburg;497.878;99.361;Albert Kranz;;CS78858;1001G;REF;0.983919674;
7416;Yo-0;USA;Yo;37.45;-119.35;Albert Kranz;;CS76633;1001G;REF;0.992046692;
7417;Zu-0;SUI;Zu;473.667;8.55;Albert Kranz;;CS78880;1001G;REF;0.976184724;
7418;Zu-1;SUI;Zu;473.667;8.55;Albert Kranz;;CS78881;RgMap;REF;0.978680215;
7419;Db-1;GER;Tenne/Ts.;503.058;832.213;Albert Kranz;;CS76471;1001G;REF;0.985381391;
742;LI-SET-036;USA;Setauket - SET;409.352;-73.114;Oliver Bossdorf;04/01/2006 00:00;CS78957;1001G;REF;0.99914196;
7423;Jl-2;CZE;Br;49.2;166.166;Albert Kranz;;;RgMap;IMP;0.957987374;
7424;Jl-3;CZE;Br;49.2;166.166;Albert Kranz;;CS76519;RgMap;REF;0.980017981;
7425;Jl-4;CZE;Br;49.2;166.166;Albert Kranz;;;RgMap;IMP;0.944599016;
7427;Ko-2;DEN;UNKNOWN-Denmark;;;Albert Kranz;;CS76531;1001G;REF;0.973157694;
7430;Nc-1;FRA;Vermois;486.167;6.25;Albert Kranz;;CS76559;RgMap;REF;0.984022475;
7438;N13;RUS;Konchezero;61.36;34.15;Andy Savushkin;;;RgMap;IMP;0.955839504;
7446;N4;RUS;Solomennoye ;61.36;34.15;Andy Savushkin;;;RgMap;IMP;0.943934481;
7449;N7;RUS;Pinguba ;61.36;34.15;Andy Savushkin;;;RgMap;IMP;0.950281332;
7457;Rld-2;RUS;Rsch;56.25;343.167;Eric Holub;;;RgMap;IMP;0.969972725;
7460;Da(1)-12;CZE;Unknown - Czech Republic;;;Igor Vizir;;CS76470;RgMap;REF;0.99186005;
7461;H55;CZE;Relichova;49;15;Igor Vizir;;CS76897;RgMap;REF;0.991257581;
7462;Je54;CZE;Relichova;49;15;Igor Vizir;;;RgMap;IMP;0.957350224;
7463;Sn(5)-1;UNK;UNKNOWN;;;Igor Vizir;;;RgMap;IMP;0.956674736;
7471;RLD-1;UNK;UNKNOWN;;;Maarten Koornneef;;CS76588;1001G;REF;0.980969288;
7472;S96;UNK;UNKNOWN;;;Maarten Koornneef;;;RgMap;IMP;0.966493961;
7475;KEN;USA;Hartford;41.767;-72.677;Massimo Pigliucci;;CS79021;1001G;REF;0.999198964;
7477;WAR;USA;Lincoln Woods State Park;417.302;-712.825;Massimo Pigliucci;;CS78853;RgMap;REF;0.983494092;
7479;PHW-10;UK;Kent (PHW);512.878;0.0565;Paul Williams;;;RgMap;IMP;0.959542822;
7482;PHW-13;UK;Kent (PHW);512.878;0.0565;Paul Williams;;;RgMap;IMP;0.964125188;
7483;PHW-14;UK;Kent (PHW);512.878;0.0565;Paul Williams;;;RgMap;IMP;0.970547803;
7490;PHW-20;UK;Kent (PHW);512.878;0.0565;Paul Williams;;;RgMap;IMP;0.951208759;
7492;PHW-22;UK;Marlborough;514.167;-17.167;Paul Williams;;;RgMap;IMP;0.940131665;
7496;PHW-26;UK;Chagford;506.728;-38.404;Paul Williams;;;RgMap;IMP;0.958188195;
7498;PHW-28;UK;Dartmode;50.35;-35.833;Paul Williams;;;RgMap;IMP;0.962247513;
7502;PHW-31;UK;Ely;514.666;-3.2;Paul Williams;;;RgMap;IMP;0.970916583;
7504;PHW-33;NED;Lisse;52.25;45.667;Paul Williams;;;RgMap;IMP;0.950596255;
7506;PHW-35;FRA;Bretagny Sur Orge;486.103;23.086;Paul Williams;;;RgMap;IMP;0.95501979;
7507;PHW-36;FRA;Bretagny Sur Orge;486.103;23.086;Paul Williams;;;RgMap;IMP;0.954944026;
7508;PHW-37;FRA;Bretagny Sur Orge;486.103;23.086;Paul Williams;;;RgMap;IMP;0.941819473;
7514;RRS-7;USA;RRS;415.609;-864.251;Joy Bergelson;;CS76593;RgMap;REF;0.987431619;
7515;RRS-10;USA;RRS;415.609;-864.251;Joy Bergelson;;CS76592;RgMap;REF;0.998830622;
7516;Vår2-1;SWE;Vår2;55.58;14.334;Magnus Nordborg;06/01/2000 00:00;CS78830;RgMap;REF;0.994944889;
7517;Vår2-6;SWE;Vår2;55.58;14.334;Magnus Nordborg;06/01/2000 00:00;CS78831;RgMap;REF;0.992333115;
7518;ÖMö2-1;SWE;ÖMö2;56.14;15.78;Magnus Nordborg;5/14/2000 0:00;;RgMap;IMP;0.959561992;
7519;ÖMö2-3;SWE;ÖMö2;56.14;15.78;Magnus Nordborg;5/14/2000 0:00;;RgMap;IMP;0.967323716;
7520;Lp2-2;CZE;Lp2;49.38;16.81;Ivo Cetl;;CS76546;RgMap;REF;0.981626906;
7521;Lp2-6;CZE;Lp2;49.38;16.81;Ivo Cetl;01/01/1991 00:00;CS77052;RgMap;REF;0.981316655;
7522;Mr-0;ITA;Mr;44.15;9.65;Albert Kranz;;;RgMap;IMP;0.880916911;
7523;Pna-17;USA;PNA;420.945;-863.253;Joy Bergelson;;CS76575;RgMap;REF;0.990924843;
7524;Rmx-A02;USA;RMX;42.036;-86.511;Joy Bergelson;;;RgMap;IMP;0.974586127;
7525;Rmx-A180;USA;RMX;42.036;-86.511;Joy Bergelson;;CS77218;RgMap;REF;0.996975882;
7526;Pna-10;USA;PNA;420.945;-863.253;Joy Bergelson;;;RgMap;IMP;0.977697936;
7529;627RMX-1MN4;USA;RMX;420.333;-865.128;Justin Borevitz;6/27/2006 0:00;CS79022;1001G;REF;0.998027188;
7530;627RMX-1MN5;USA;RMX;420.333;-865.128;Justin Borevitz;6/27/2006 0:00;CS79023;1001G;REF;0.998028117;
7566;627ME-13Y1;USA;ME (Benton Harbor);42.093;-86.359;Justin Borevitz;6/27/2006 0:00;CS78367;RgMap;REF;0.998548482;
7568;627ME-1MI1;USA;ME (Benton Harbor);42.093;-86.359;Justin Borevitz;6/27/2006 0:00;CS79024;1001G;REF;0.999162332;
7570;627ME-4MI1;USA;ME (Benton Harbor);42.093;-86.359;Justin Borevitz;6/27/2006 0:00;;RgMap;IMP;0.958428267;
7578;627PNA-1Y1;USA;PNA;420.945;-863.253;Justin Borevitz;6/27/2006 0:00;;RgMap;IMP;0.96396088;
7580;627PNA-2B3;USA;PNA;420.945;-863.253;Justin Borevitz;6/27/2006 0:00;;RgMap;IMP;0.929906235;
7584;627PNA-3M4;USA;PNA;420.945;-863.253;Justin Borevitz;6/27/2006 0:00;;RgMap;IMP;0.958834473;
763;Kar-1;KGZ;Karakol;42.3;743.667;Olivier Loudet;07/03/2004 00:00;CS76522;1001G;REF;0.985306091;
765;Sus-1;KGZ;Susamyr;421.833;73.4;Olivier Loudet;07/04/2004 00:00;CS76607;1001G;REF;0.985623998;
766;Dja-1;KGZ;Djarly;425.833;736.333;Olivier Loudet;07/07/2004 00:00;CS76473;1001G;REF;0.991357391;
768;Zal-1;KGZ;Zalisky;42.8;76.35;Olivier Loudet;7/18/2004 0:00;CS76634;1001G;REF;0.992322791;
77;CLA-7;FRA;CLA;48.8;226.667;Valerie Le Corre;;;RgMap;IMP;0.959518176;
7717;KNO1.37;USA;Knox35;41.273;-86.625;Megan Dunning;4/27/2005 0:00;CS76972;RgMap;REF;0.986077227;
772;Neo-6;TJK;Neo-Shahdara;37.35;724.667;Olivier Loudet;7/25/2004 0:00;CS76560;1001G;REF;0.994031702;
7757;KNO2.41;USA;Knox35;41.273;-86.625;Megan Dunning;4/27/2005 0:00;CS79025;1001G;REF;0.9992407;
7767;KNO2.54;USA;Knox35;41.273;-86.625;Megan Dunning;4/27/2005 0:00;CS79026;1001G;REF;0.999177578;
7787;KNO2.77;USA;Knox35;41.273;-86.625;Megan Dunning;4/27/2005 0:00;;RgMap;IMP;0.950407301;
7837;ME3.41;USA;ME (Benton Harbor);42.093;-86.359;Megan Dunning;05/12/2005 00:00;;RgMap;IMP;0.949408674;
7847;ME3.51;USA;ME (Benton Harbor);42.093;-86.359;Megan Dunning;05/12/2005 00:00;;RgMap;IMP;0.954839964;
7867;ME4.20;USA;ME (Benton Harbor);42.093;-86.359;Megan Dunning;05/12/2005 00:00;;RgMap;IMP;0.964416378;
79;CUR-10;FRA;CUR;45;1.75;Valerie Le Corre;;;RgMap;IMP;0.943663373;
7917;PNA3.10;USA;PNA;420.945;-863.253;Megan Dunning;05/04/2005 00:00;CS77183;1001G;REF;0.993580726;
7947;PNA3.40;USA;PNA;420.945;-863.253;Megan Dunning;05/04/2005 00:00;CS77184;1001G;REF;0.996254141;
8;ALL1-9;FRA;ALL1;452.667;148.333;Valerie Le Corre;;;RgMap;IMP;0.954348866;
80;CUR-2;FRA;CUR;45;1.75;Valerie Le Corre;;;RgMap;IMP;0.940923995;
801;KYC-33;USA;KYC;379.169;-844.639;Kathleen Donohue;05/04/1999 00:00;CS76992;1001G;REF;0.987228987;
8037;PT1.52;USA;PT (La Porte);413.423;-867.368;Megan Dunning;4/25/2005 0:00;CS79027;1001G;REF;0.999208452;
8057;PT1.85;USA;PT (La Porte);413.423;-867.368;Megan Dunning;4/25/2005 0:00;CS79028;1001G;REF;0.999361317;
8077;PT2.21;USA;PT (La Porte);413.423;-867.368;Megan Dunning;4/25/2005 0:00;CS77191;RgMap;REF;0.989810284;
81;CUR-3;FRA;CUR;45;1.75;Valerie Le Corre;;;RgMap;IMP;0.925831398;
8122;RMX3.11;USA;RMX;42.036;-86.511;Megan Dunning;05/07/2005 00:00;;RgMap;IMP;0.961391287;
8132;RMX3.22;USA;RMX;42.036;-86.511;Megan Dunning;05/07/2005 00:00;CS77219;1001G;REF;0.996993589;
8171;RMX4.118;USA;RMX;42.036;-86.511;Megan Dunning;05/07/2005 00:00;CS79029;1001G;REF;0.997271937;
82;CUR-4;FRA;CUR;45;1.75;Valerie Le Corre;;;RgMap;IMP;0.954805277;
